ID_PLAYA,NOMBRE_PLAYA,ID_PROVINCIA,NOMBRE_PROVINCIA,ID_MUNICIPIO,NOMBRE_MUNICIPIO,LATITUD,LONGITUD,COMUNIDAD
0301101,Raco de l'Albir,3,Alacant/Alicante,3011,Alfaz del Pi,"38??? 34' 31""","-00??? 03' 52""",Valencia
0301401,Sant Joan / San Juan,3,Alacant/Alicante,3014,Alicante/Alacant,"38??? 22' 48""","-00??? 24' 32""",Valencia
0301408,El Postiguet,3,Alacant/Alicante,3014,Alicante/Alacant,"38??? 20' 46""","-00??? 28' 38""",Valencia
0301410,Saladar,3,Alacant/Alicante,3014,Alicante/Alacant,"38??? 17' 02""","-00??? 31' 08""",Valencia
0301808,La Roda,3,Alacant/Alicante,3018,Altea,"38??? 36' 29""","-00??? 02' 16""",Valencia
0301809,Cap Blanch,3,Alacant/Alicante,3018,Altea,"38??? 35' 36""","-00??? 03' 10""",Valencia
0303102,Llevant / Playa de Levante,3,Alacant/Alicante,3031,Benidorm,"38??? 32' 12""","-00??? 07' 05""",Valencia
0303104,Ponent / Playa de Poniente,3,Alacant/Alicante,3031,Benidorm,"38??? 32' 14""","-00??? 08' 55""",Valencia
0304105,Cala Fustera,3,Alacant/Alicante,3041,Benissa,"38??? 39' 53""","0??? 05' 16""",Valencia
0304704,La Fossa,3,Alacant/Alicante,3047,Calp,"38??? 38' 46""","0??? 04' 24""",Valencia
0304707,Cantal Roig,3,Alacant/Alicante,3047,Calp,"38??? 37' 54""","0??? 00' 16""",Valencia
0304709,Arenal/Bol,3,Alacant/Alicante,3047,Calp,"38??? 36' 35""","-00??? 02' 10""",Valencia
0305013,Carrer la Mar,3,Alacant/Alicante,3050,el Campello,"38??? 25' 30""","-00??? 23' 20""",Valencia
0306301,Les Devesses,3,Alacant/Alicante,3063,Denia,"38??? 52' 15""","-00??? 00' 26""",Valencia
0306308,Les Boves / Les Marines,3,Alacant/Alicante,3063,Denia,"38??? 51' 29""","0??? 04' 33""",Valencia
0306310,Marineta Cassiana,3,Alacant/Alicante,3063,Denia,"38??? 50' 04""","0??? 07' 33""",Valencia
0306502,Arenales del Sol,3,Alacant/Alicante,3065,Elche/Elx,"38??? 14' 28""","-00??? 30' 49""",Valencia
0306505,La Marina / Les Pesqueres - El Rebollo,3,Alacant/Alicante,3065,Elche/Elx,"38??? 08' 19""","-00??? 39' 09""",Valencia
0306901,Finestrat / La Cala,3,Alacant/Alicante,3069,Finestrat,"38??? 31' 33""","-00??? 09' 58""",Valencia
0307605,Centro / La Roqueta,3,Alacant/Alicante,3076,Guardamar del Segura,"38??? 04' 31""","-00??? 38' 50""",Valencia
0308204,El Arenal,3,Alacant/Alicante,3082,Javea/Xabia,"38??? 46' 27""","0??? 11' 27""",Valencia
